ChEMBLID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL418995,AMINEPTINE,AMINEPTIN|AMINEPTINE,Small molecule,4,337.46,32,70,4.5,49.33,2,2,0,8,N,0.7,4.41,9.17,2.74,2.74,2,MOL,0,25,3,2,0,337.2042,ZWITTERION,C22H27NO2,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,ONNOFKFOZAJDHT-UHFFFAOYSA-N
CHEMBL511142,BUPRENORPHINE,ALKS-5461 COMPONENT BUPRENORPHINE|BRIXADI|BUPEAZE|BUPLAST|BUPRENORPHIN|BUPRENORPHINE|BUTEC|BUTRANS|HAPOCTASIN|PANITAZ|PRENOTRIX|RELETRANS|SEVODYNE|SUBLOCADE|SUBOXONE|TEMGESIC|TEPHINE|TRANSTEC,Small molecule,4,467.65,47,264,4.41,62.16,5,2,0,4,N,0.69,10.42,9.63,3.55,1.61,1,MOL,0,34,5,2,0,467.3036,BASE,C29H41NO4,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,RMRJXGBAOAMLHD-CTAPUXPBSA-N
CHEMBL1764,LEVOMEPROMAZINE,CL 36467|CL 39743|CL-36467|CL-39743|LEVOMEPROMAZINE|Levomepromazine|Levoprome|METHOTRIMEPRAZINE|Methotrimeprazine|N05AA02|NEOZINE|NIRVAN|NSC-226516|Nirvan|RP 7044|RP-7044|SK&F 5116|SK&F-5116|Tisercin|XP-03|XP03,Small molecule,4,328.48,13,59,4.5,15.71,4,0,0,5,N,0.8,None,9.42,4.25,2.24,2,MOL,0,23,3,0,0,328.1609,BASE,C19H24N2OS,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,VRQVVMDWGGWHTJ-CQSZACIVSA-N
CHEMBL95,TACRINE,TACRINAL|TACRINE|Tacrine,Small molecule,4,198.27,240,3615,2.7,38.91,2,1,0,0,Y,0.71,None,8.95,2.63,1.25,2,MOL,0,15,2,2,0,198.1157,BASE,C13H14N2,Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N
CHEMBL1722501,PYRITHYLDIONE,NSC-89733|PYRITHYLDIONE,Small molecule,0,167.21,13,22,1.01,46.17,2,1,0,2,Y,0.62,13.04,None,1.56,1.56,0,MOL,0,12,3,1,0,167.0946,NEUTRAL,C9H13NO2,CCC1(CC)C(=O)C=CNC1=O,NZASCBIBXNPDMH-UHFFFAOYSA-N
CHEMBL1199307,DISTIGMINE,DISTIGMINE|DISTIGMINE CATION|DISTIGMINE ION,Small molecule,4,416.52,1,1,2.46,66.84,4,0,0,9,N,0.47,None,None,-5.64,-5.64,2,MOL,0,30,8,0,0,416.2413,NEUTRAL,C22H32N4O4+2,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,AHZBEVXBKNYXPU-UHFFFAOYSA-N
CHEMBL1697828,CARBROMAL,2-BROMO-2-ETHYLBUTYRYUREA|Adalin|BROMODIETHYLACETYLUREA|CARBROMAL|NSC-49191,Small molecule,0,237.1,2,3,1.14,72.19,2,2,0,3,N,0.72,10.91,None,1.39,1.39,0,MOL,0,12,4,3,0,236.016,NEUTRAL,C7H13BrN2O2,CCC(Br)(CC)C(=O)NC(N)=O,OPNPQXLQERQBBV-UHFFFAOYSA-N
CHEMBL64195,BECLAMIDE,BECLAMIDE|BENZCHLORPROPAMIDE|BENZYLAMIDE|NEURACEN|NSC-67062|NYDRANE,Small molecule,4,197.66,5,16,1.93,29.1,1,1,0,4,N,0.73,None,None,1.69,1.69,1,MOL,0,13,2,1,0,197.0607,NEUTRAL,C10H12ClNO,O=C(CCCl)NCc1ccccc1,JPYQFYIEOUVJDU-UHFFFAOYSA-N
CHEMBL654,MIRTAZAPINE,6-AZAMIANSERIN|AVANZA|MIRATAZ|MIRTAZAPIN|MIRTAZAPINE|MIRTAZAPINE ANHYDROUS|NORSET|ORG 3770|ORG-3770|PROMYRTIL|REMERON SOLTAB|REXER|Remeron|ZISPIN,Small molecule,4,265.36,64,202,2.48,19.37,3,0,0,0,Y,0.73,None,6.67,3.21,3.13,2,MOL,0,20,3,0,0,265.1579,NEUTRAL,C17H19N3,CN1CCN2c3ncccc3Cc3ccccc3C2C1,RONZAEMNMFQXRA-UHFFFAOYSA-N
CHEMBL2105187,MAZATICOL,KAO 264|KAO-264|MAZATICOL|MAZATICOL HYDROCHLORIDE|PENTONA|PG 501|PG-501,Small molecule,0,405.59,,,4.24,49.77,6,1,0,4,N,0.77,10.4,9.36,4.01,2.27,2,MOL,0,27,4,1,0,405.1432,BASE,C21H27NO3S2,CN1[C@@H]2CCC(C)(C)[C@H]1C[C@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,AMHPTVWBZSYFSS-BZUAXINKSA-N
CHEMBL609109,THIOPROPERAZINE,THIOPROPERAZINE,Small molecule,0,446.64,4,27,3.18,47.1,6,0,0,6,N,0.68,None,7.96,2.83,2.16,2,MOL,0,30,6,0,0,446.181,NEUTRAL,C22H30N4O2S2,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,VZYCZNZBPPHOFY-UHFFFAOYSA-N
CHEMBL2220384,TILIDINE,DL-TRANS-TILIDINE|IDS-NT-003|TILIDINE|TRANS-TILIDINE|Tilidine,Small molecule,0,273.38,4,16,2.77,29.54,3,0,0,4,N,0.62,None,8.6,3.35,2.13,1,MOL,0,20,3,0,0,273.1729,BASE,C17H23NO2,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,WDEFBBTXULIOBB-UHFFFAOYSA-N
CHEMBL1697733,ACETYLCARNITINE,ACETYL CARNITINE HCL|ACETYL-L-CARNITINE|ACETYLCARNITINE|Acetyl-L-Carnitine|BRANIGEN|LEVACECARNINE HYDROCHLORIDE|NICETILE|NORMOBREN|NSC-747431|ORISTAR ACH|ST-200|ZIBREN,Small molecule,4,203.24,16,20,-1.24,66.43,4,0,0,5,N,0.41,4.09,None,-4.45,-3.68,0,MOL,0,14,5,0,0,203.1158,ACID,C9H17NO4,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,RDHQFKQIGNGIED-MRVPVSSYSA-N
CHEMBL612,DEXTROAMPHETAMINE,"AMFETAMINE, (S)-|AMPHETAMINE, D-|D-AMPHETAMINE|DEXAMFETAMINE|DEXAMPHETAMINE|DEXIDRINE|DEXTROAMPHETAMINE|DEXTROAMPHETAMINE RESIN COMPLEX|Dexampex|Dexamphetamine|Dexedrine|Dextroamphetamine|Dextrostat|Ferndex|NSC-73713",Small molecule,4,135.21,28,115,1.58,26.02,1,1,0,2,Y,0.65,None,10.01,1.8,-0.67,1,MOL,0,10,1,2,0,135.1048,BASE,C9H13N,C[C@H](N)Cc1ccccc1,KWTSXDURSIMDCE-QMMMGPOBSA-N
CHEMBL963,OXYMORPHONE,"14-HYDROXYDIHYDROMORPHINONE|7,8-DIHYDRO-14-HYDROXYMORPHINONE|DIHYDROXYMORPHINONE|IDS-NO-003|NIH 10323|NSC-19045|Numorphan|OXYCODONE HYDROCHLORIDE IMPURITY, OXYMORPHONE-|OXYMORPHONE|OXYMORPHONE CII|Opana|Oxymorphone",Small molecule,4,301.34,40,103,0.75,70,5,2,0,0,N,0.74,10.07,8.21,0.78,0.01,1,MOL,0,22,5,2,0,301.1314,NEUTRAL,C17H19NO4,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,UQCNKQCJZOAFTQ-ISWURRPUSA-N
CHEMBL3707307,FABOMOTIZOLE,AFOBAZOL|AFOBAZOLE|APHOBAZOLE|CM-346|FABOMOTIZOLE|OBENOXAZINE,Small molecule,3,307.42,2,5,2.39,50.38,5,1,0,6,N,0.83,10.41,6.67,2.31,2.24,2,MOL,0,21,5,1,0,307.1354,NEUTRAL,C15H21N3O2S,CCOc1ccc2nc(SCCN3CCOCC3)[nH]c2c1,WWNUCVSRRUDYPP-UHFFFAOYSA-N
CHEMBL1009,LEVODOPA,BROCADOPA|Bendopa|CVT-301|Dopar|INBRIJA|LEVODOPA|LEVODOPUM|Larodopa|NSC-118381|V-1512,Small molecule,4,197.19,208,1130,0.05,103.78,4,4,0,3,N,0.51,1.65,9.06,-1.79,-1.8,1,MOL,0,14,5,5,0,197.0688,ZWITTERION,C9H11NO4,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-LURJTMIESA-N
CHEMBL1685,DEZOCINE,"DEZOCINE|DOCOZINE|DOZOCINE|Dalgan|WY-16,225|WY-16225",Small molecule,4,245.37,3,22,3.11,46.25,2,2,0,0,N,0.74,10.43,9.67,3.23,1.31,1,MOL,0,18,2,3,0,245.178,BASE,C16H23NO,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,VTMVHDZWSFQSQP-VBNZEHGJSA-N
CHEMBL1095282,CAMAZEPAM,ALBEGO|CAMAZEPAM|LIMPIDON|PAXOR,Small molecule,0,371.82,3,20,3.18,62.21,4,0,0,2,N,0.81,None,None,3.34,3.34,2,MOL,0,26,6,0,0,371.1037,NEUTRAL,C19H18ClN3O3,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,PXBVEXGRHZFEOF-UHFFFAOYSA-N
CHEMBL490,PAROXETINE,"(-)3S,4R-PAROXETINE|ARKETIS|AROTIN|BESITRAM|BRL 29060|BRL-29060|CASBOL|DAPAROX|FG-7051|FROSINOR|MOTIVAN|PAROGEN|PAROXETINE|PAXPAR|Paroxetine|Paxil|Paxil [as hydrochloride]|Pexeva|XETANOR",Small molecule,4,329.37,190,1081,3.33,39.72,4,1,0,4,N,0.93,None,9.77,3.15,0.83,2,MOL,0,24,4,1,0,329.1427,BASE,C19H20FNO3,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,AHOUBRCZNHFOSL-YOEHRIQHSA-N
CHEMBL282052,METHAQUALONE,CI-705|CN 38703|CN-38703|METHAQUALONE|METHAQUALONEINONE|METOLQUIZOLONE|NSC-111388|NSC-111388-|NSC-126877|NSC-631628|QZ-2|R-148|TR-495,Small molecule,4,250.3,22,110,3,34.89,3,0,0,1,N,0.67,None,1.18,3.17,3.17,3,MOL,0,19,3,0,0,250.1106,NEUTRAL,C16H14N2O,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,JEYCTXHKTXCGPB-UHFFFAOYSA-N
CHEMBL7413,METHOHEXITAL,METHOHEXITAL|METHOHEXITAL CIV|METHOHEXITONE,Small molecule,4,262.31,8,66,1.31,66.48,3,1,0,3,N,0.47,7.73,None,2.29,2.12,0,MOL,0,19,5,1,0,262.1317,NEUTRAL,C14H18N2O3,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,NZXKDOXHBHYTKP-UHFFFAOYSA-N
CHEMBL591,ETHCHLORVYNOL,ALVINOL|ARVYNOL|ETHCHLORVYNOL|ETHCHLORVYNOL CIV|Ethchlorvynol|NORMOSON|NOSTEL|NSC-30372|Placidyl|ROERIDORM|SERENESIL|SERENSIL,Small molecule,4,144.6,4,32,1.51,20.23,1,1,0,2,Y,0.58,12.88,None,1.62,1.62,0,MOL,0,9,1,1,0,144.0342,NEUTRAL,C7H9ClO,C#CC(O)(/C=C/Cl)CC,ZEHYJZXQEQOSON-AATRIKPKSA-N
CHEMBL190279,ALFAXALONE,ALFAXALONE|ALPHAXALONE|GR 2/234|PHAXAN,Small molecule,0,332.48,30,85,3.77,54.37,3,1,0,1,N,0.79,None,None,3.06,3.06,0,MOL,0,24,3,1,0,332.2351,NEUTRAL,C21H32O3,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,DUHUCHOQIDJXAT-OLVMNOGESA-N
CHEMBL2105233,PROXIBARBAL,AXEEN|CENTRALGOL|HH-184|HYDROXYDIAL|IPRONAL|PROXIBARBAL,Small molecule,4,226.23,,,-0.31,95.5,4,3,0,4,N,0.45,7.18,None,-0.16,-0.58,0,MOL,0,16,6,3,0,226.0954,NEUTRAL,C10H14N2O4,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,VNLMRPAWAMPLNZ-UHFFFAOYSA-N
CHEMBL1201217,DYCLONINE,DYCLONINE,Small molecule,4,289.42,21,29,3.92,29.54,3,0,0,8,N,0.54,None,8.36,3.68,2.67,1,MOL,0,21,3,0,0,289.2042,NEUTRAL,C18H27NO2,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,BZEWSEKUUPWQDQ-UHFFFAOYSA-N
CHEMBL503565,VINBARBITAL,BUTENEMAL|NSC-117442|VINBARBITAL|VINBARBITAL SODIUM FREE ACID|VINBARBITONE,Small molecule,0,224.26,1,1,1.11,75.27,3,2,0,3,N,0.56,7.14,None,1.49,1.05,0,MOL,0,16,5,2,0,224.1161,NEUTRAL,C11H16N2O3,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,RAFOHKSPUDGZPR-VOTSOKGWSA-N
CHEMBL931,HALOTHANE,FREON 123B1|Fluothane|HALOTHANE|HALOTHANUM|Halothane|NSC-143490|Rhidialothan,Small molecule,4,197.38,19,85,2.51,0,0,0,0,0,Y,0.52,None,None,2.12,2.12,0,MOL,0,7,0,0,0,195.8902,NEUTRAL,C2HBrClF3,FC(F)(F)C(Cl)Br,BCQZXOMGPXTTIC-UHFFFAOYSA-N
CHEMBL268164,CYCLOBARBITAL,CYCLOBARBITAL|CYCLOBARBITONE|HEXEMAL|Phanodorn,Small molecule,4,236.27,9,15,1.25,75.27,3,2,0,2,N,0.56,7.14,None,1.47,1.03,0,MOL,0,17,5,2,0,236.1161,NEUTRAL,C12H16N2O3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,WTYGAUXICFETTC-UHFFFAOYSA-N
CHEMBL509282,APRONAL,APRONAL|APRONALIDE|Sedormid,Small molecule,0,184.24,3,20,1.03,72.19,2,2,0,4,N,0.64,11.75,None,1.19,1.19,0,MOL,0,13,4,3,0,184.1212,NEUTRAL,C9H16N2O2,C=CCC(C(=O)NC(N)=O)C(C)C,KSUUMAWCGDNLFK-UHFFFAOYSA-N
CHEMBL1257,ENFLURANE,ALYRANE|ANESTHETIC COMPOUND NO. 347|Anesthetic Compound No. 347|COMPOUND 347|EFRANE|ENFLURANE|Ethrane|METHYLFLURETHER|NSC-115944|OHIO 347|R-E-235CA2,Small molecule,4,184.49,9,67,2.35,9.23,1,0,0,3,Y,0.48,None,None,2.8,2.8,0,MOL,0,10,1,0,0,183.9714,NEUTRAL,C3H2ClF5O,FC(F)OC(F)(F)C(F)Cl,JPGQOUSTVILISH-UHFFFAOYSA-N
CHEMBL1200790,METHYPRYLON,METHYPRYLON|NSC-30442|Noludar,Small molecule,4,183.25,6,29,1.13,46.17,2,1,0,2,Y,0.65,None,None,1.88,1.88,0,MOL,0,13,3,1,0,183.1259,NEUTRAL,C10H17NO2,CCC1(CC)C(=O)NCC(C)C1=O,SIDLZWOQUZRBRU-UHFFFAOYSA-N
CHEMBL2105141,NIAPRAZINE,1709 CERM|1709-CERM|1709CERM|J10.716F|NIAPRAZINE|NOPRON,Small molecule,0,356.44,1,2,2.55,48.47,4,1,0,6,N,0.86,13.95,7.9,2.21,1.58,2,MOL,0,26,5,1,0,356.2012,NEUTRAL,C20H25FN4O,CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,RSKQGBFMNPDPLR-UHFFFAOYSA-N
CHEMBL1988479,ETALLOBARBITAL,ETALLOBARBITAL,Small molecule,0,196.21,50,50,0.32,75.27,3,2,0,3,N,0.5,7.48,None,0.86,0.6,0,MOL,0,14,5,2,0,196.0848,NEUTRAL,C9H12N2O3,C=CCC1(CC)C(=O)NC(=O)NC1=O,QPADNTZLUBYNEN-UHFFFAOYSA-N
CHEMBL2104926,CINOLAZEPAM,CINOLAZEPAM|GERODORM,Small molecule,0,357.77,,,2.9,76.69,4,1,0,3,N,0.92,10.68,None,2.7,2.7,2,MOL,0,25,5,1,0,357.068,NEUTRAL,C18H13ClFN3O2,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,XAXMYHMKTCNRRZ-UHFFFAOYSA-N
CHEMBL267719,ALLOBARBITAL,ALLOBARBITAL|DIALLYLBARBITURIC ACID|DIALLYMAL|NSC-9324,Small molecule,0,208.22,10,18,0.49,75.27,3,2,0,4,N,0.52,7.48,None,1,0.74,0,MOL,0,15,5,2,0,208.0848,NEUTRAL,C10H12N2O3,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,FDQGNLOWMMVRQL-UHFFFAOYSA-N
CHEMBL87385,CLOPENTHIXOL,AY-62021|CHLORPENTHIXOL|CLOPENTHIXOL|N-746|NSC-64087|SORDINOL,Small molecule,0,400.98,,,4.24,26.71,4,1,0,5,N,0.69,None,8.03,4.22,3.5,2,MOL,0,27,3,1,0,400.1376,NEUTRAL,C22H25ClN2OS,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1,WFPIAZLQTJBIFN-BLLMUTORSA-N
CHEMBL1201342,METHIXENE,ATOSIL|METIXENE|Methixene,Small molecule,4,309.48,4,9,5.02,3.24,2,0,1,2,N,0.77,None,9.34,5.06,3.13,2,MOL,0,22,1,0,1,309.1551,BASE,C20H23NS,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,MJFJKKXQDNNUJF-UHFFFAOYSA-N
CHEMBL1908364,DEXETIMIDE,"BENZETIMIDE, (S)-|DEXETIMIDE|R 16,470 [AS HYDROCHLORIDE]",Small molecule,0,362.47,2,5,3.27,49.41,3,1,0,4,N,0.85,11.69,8.66,3.38,2.1,2,MOL,0,27,4,1,0,362.1994,BASE,C23H26N2O2,O=C1CC[C@@](c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,LQQIVYSCPWCSSD-HSZRJFAPSA-N
CHEMBL304902,CLOTHIAPINE,CLOTHIAPINE|CLOTIAPINE|Clothiapine|ENTUMIN|HF-2159,Small molecule,4,343.88,25,55,4.13,18.84,4,0,0,0,N,0.72,None,7.23,4.15,3.92,2,MOL,0,23,3,0,0,343.091,NEUTRAL,C18H18ClN3S,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,KAAZGXDPUNNEFN-UHFFFAOYSA-N
CHEMBL46058,ETHYL CHLORIDE,CHLOROETHANE|ETHYL CHLORIDE|Ethyl Chloride,Small molecule,4,64.52,3,4,1.25,0,0,0,0,0,Y,0.37,None,None,1.19,1.19,0,MOL,0,3,0,0,0,64.008,None,C2H5Cl,CCCl,HRYZWHHZPQKTII-UHFFFAOYSA-N
CHEMBL3989803,DIPYRONE,ANALGIN|DIPYRONE|DIPYRONE ANHYDROUS|Diprofarn|METAMIZOL|METAMIZOL MONOHYDRATE|METAMIZOLE SODIUM|METAMIZOLE SODIUM (ANHYDROUS)|METAMIZOLE SODIUM HYDRATE|METAMIZOLE SODIUM MONOHYDRATE|METAMIZOLUM NATRICUM ANHYDRICUM|METHAMPYRONE|NORAMIDOPYRINE METHANESULFONATE SODIUM|NOVALGIN|NSC-73205|NSC-758445|Novaldin|SULPYRINE|SULPYRINE HYDRATE,Small molecule,4,351.36,2,4,0.77,84.54,6,1,0,4,N,0.84,-1.42,None,-0.82,-2.25,2,MOL,0,21,7,1,0,311.094,ACID,C13H18N3NaO5S,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],UNZIDPIPYUMVPA-UHFFFAOYSA-M
CHEMBL2106439,PIPOTIAZINE PALMITATE,19552 RP|IL-19552|PIPORTIL|PIPORTIL DEPOT|PIPOTHIAZINE|PIPOTIAZINE|PIPOTIAZINE PALMITATE|PIPOTIAZINE PALMITIC ESTER|RP 19552|RP-19552,Small molecule,4,714.09,3,10,10.06,70.16,7,0,2,23,N,0.08,None,8.86,10.05,8.58,2,MOL,0,49,7,0,2,713.426,BASE,C40H63N3O4S2,CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,KTOYYUONFQWSMW-UHFFFAOYSA-N
CHEMBL460,MOLINDONE,MOLINDONE|Moban|Molindone|SPN-810,Small molecule,4,276.38,22,63,1.96,45.33,3,1,0,3,Y,0.92,None,6.65,2.04,1.96,1,MOL,0,20,4,1,0,276.1838,NEUTRAL,C16H24N2O2,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,KLPWJLBORRMFGK-UHFFFAOYSA-N
CHEMBL134,CLONIDINE,CATAPRES-TTS-1|CATAPRES-TTS-2|CATAPRES-TTS-3|CATARPRES-TTS|CLONIDINE|CLONIDINE EXTENDED RELEASE|Catapres|Clorpres|Combipres|Duraclon|NEXICLON XR|ST-155-BS|ST-155BS,Small molecule,4,230.1,191,1297,2.17,36.42,1,2,0,1,Y,0.78,None,9.34,2.04,0.73,1,MOL,0,14,3,2,0,229.0174,BASE,C9H9Cl2N3,Clc1cccc(Cl)c1N=C1NCCN1,GJSURZIOUXUGAL-UHFFFAOYSA-N
CHEMBL2103837,TAFAMIDIS,FX-1005|FX-1006|FX1006|TAFAMIDIS|VYNDAMAX|VYNDAQEL,Small molecule,4,308.12,10,111,4.5,63.33,3,1,0,2,N,0.76,3.6,None,4.21,0.87,3,MOL,0,20,4,1,0,306.9803,ACID,C14H7Cl2NO3,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,TXEIIPDJKFWEEC-UHFFFAOYSA-N
CHEMBL36591,ALAPROCLATE,ALAPROCLATE|GEA 654|GEA-654|NSC-758657,Small molecule,0,255.75,18,50,2.55,52.32,3,1,0,4,N,0.84,None,7.34,2.88,2.61,1,MOL,0,17,3,2,0,255.1026,NEUTRAL,C13H18ClNO2,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,FZSPJBYOKQPKCD-UHFFFAOYSA-N
CHEMBL2110603,BENZOCTAMINE,BENZOCTAMINE,Small molecule,0,249.36,,,3.43,12.03,1,1,0,2,N,0.86,None,10.04,3.64,1.09,2,MOL,0,19,1,1,0,249.1517,BASE,C18H19N,CNCC12CCC(c3ccccc31)c1ccccc12,GNRXCIONJWKSEA-UHFFFAOYSA-N
CHEMBL1490,TRIHEXYPHENIDYL,APO-TRIHEX|NSC-12268|TRIHEXYPHENIDYL|Trihexyphenidyl,Small molecule,4,301.47,120,786,4.33,23.47,2,1,0,5,N,0.87,13.84,9.32,4.23,2.32,1,MOL,0,22,2,1,0,301.2406,BASE,C20H31NO,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,HWHLPVGTWGOCJO-UHFFFAOYSA-N
CHEMBL894,BUPROPION,AMFEBUTAMONE|BUPROPION|BUPROPION EXTENDED RELEASE|BUPROPION SLOW RELEASE|Bupropion|NSC-758686,Small molecule,4,239.75,143,898,3.3,29.1,2,1,0,3,N,0.82,None,8.22,3.27,2.39,1,MOL,0,16,2,1,0,239.1077,NEUTRAL,C13H18ClNO,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,SNPPWIUOZRMYNY-UHFFFAOYSA-N
CHEMBL1200951,FLUPHENAZINE ENANTHATE,"FLUFENAN|FLUPHENAZINE|FLUPHENAZINE ENANTATE|FLUPHENAZINE ENANTHATE|FLUPHENAZINE MALEATE|FLUPHENAZINI ENANTAS|MODITEN ENANT|PROLIXIN ENANTHATE|Prolixin|SQ 16,114|SQ 16144",Small molecule,4,549.7,4,22,6.83,36.02,6,0,2,12,N,0.21,None,7.48,6.89,6.54,2,MOL,0,38,5,0,2,549.2637,NEUTRAL,C29H38F3N3O2S,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,LRWSFOSWNAQHHW-UHFFFAOYSA-N
CHEMBL1234579,NITROUS OXIDE,DINITROGEN MONOXIDE|DINITROGEN OXIDE|DINITROGENII OXIDUM|E-942|ENTONOX|FACTITIOUS AIR|FEMA NO. 2779|INS NO.942|INS-942|LAUGHING GAS|NITROGEN MONOXIDE|NITROGEN OXIDE (N(SUB 2)O)|NITROGEN PROTOXIDE|NITROGENUM OXYGENATUM|NITROUS OXIDE|Nitrous Oxide|PROTOXIDE OF NITROGEN,Small molecule,4,44.01,3,22,0.34,51.21,2,0,0,0,Y,0.29,4.65,None,-0.45,1.69,0,MOL,0,3,3,0,0,44.0011,ACID,N2O,N#[N+][O-],GQPLMRYTRLFLPF-UHFFFAOYSA-N
CHEMBL2105097,GUACETISAL,ASPIRIN GUAIACOL ESTER|GUACETISAL|PRONTOMUCIL,Small molecule,0,286.28,2,5,2.84,61.83,5,0,0,4,N,0.64,None,None,3.08,3.08,2,MOL,0,21,5,0,0,286.0841,NEUTRAL,C16H14O5,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,HSJFYRYGGKLQBT-UHFFFAOYSA-N
CHEMBL350221,OXITRIPTAN,"5-HYDROXY-L-TRYPTOPHAN|5-HYDROXYTRYPTOPHAN|5-HYDROXYTRYPTOPHAN L-FORM|5-HYDROXYTRYPTOPHAN, DL-|CINCOFARM|DL-5-HTP|DL-5-HYDROXYTRYPTOPHAN|DL-HYDROXYTRYPTOPHAN|DL-OXITRIPTAN|HYDROXYTRYPTOPHAN|L-5-HTP|L-5-HYDROXYTRYPTOPHAN|LEVOTHYM|LEVOTININE|LEVOTONINE|NSC-92523|OXITRIPTAN|OXYFAN|PRETONINE|QUIETIM|SEROTONYL|TELESOL|TRIPTENE|TRYPTOPHAN, 5-HYDROXY-, DL",Small molecule,4,220.23,53,103,0.83,99.34,3,4,0,3,N,0.62,2.15,9.18,-1.39,-1.4,2,MOL,0,16,5,5,0,220.0848,ZWITTERION,C11H12N2O3,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,LDCYZAJDBXYCGN-VIFPVBQESA-N
CHEMBL54,HALOPERIDOL,"DOLPIN|DOZIC|FORTUNAN|HALDOL SOLUTAB|HALOPERIDOL|HALOPERIDOL DECANOATE IMPURITY, HALOPERIDOL-|Haldol|KENTACE|Keselen|MCN-JR-1625|NSC-170973|NSC-615296|R-1625|SERENACE",Small molecule,4,375.87,355,4331,4.43,40.54,3,1,0,6,N,0.76,13.96,8.05,3.66,2.93,2,MOL,0,26,3,1,0,375.1401,NEUTRAL,C21H23ClFNO2,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N
CHEMBL502,DONEPEZIL,Aricept|D-797|DONAZ|DONEPEZIL|Donepezil|E-2020,Small molecule,4,379.5,93,1456,4.36,38.77,4,0,0,6,N,0.75,None,8.54,4.21,3.04,2,MOL,0,28,4,0,0,379.2147,BASE,C24H29NO3,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N
